Model,R2,RMSE,MAE
Tuned Random Forest,0.9977854463876247,147.61956573009294,7.173230391851628
Gradient Boosting Regressor,0.9969364933959716,173.6241907371853,88.12015637940928
Random Forest Regressor,0.996391152261975,188.44521033046186,76.5070444959012
Tuned Gradient Boosting,0.9963406461801011,189.75928076711594,87.36625663022456
Decision Tree Regressor,0.9927232960620566,267.5889508460598,136.8123324571407
Polynomial Regression,0.9664713663734288,574.392488240384,319.4106372008285
Lasso Regression,0.9662485713037794,576.2977243536533,310.23097219017
Ridge Regression,0.9662097775746696,576.6288261495806,312.8561456871871
Linear Regression,0.966207417498414,576.64896310254,312.8651258522696
ElasticNet,0.9171981882829152,902.6528209202701,524.5700976775242
KNN Regressor,0.8002471743288192,1401.997663335057,917.332607
Support Vector Regressor,0.7529947072622668,1559.0281383654585,391.72502410605944
